scope,delay_hours,model,mae,control_mae,mae_change,mae_increase_pct
pooled,0,hist_gradient_boosting,3.6957502137809892,3.6957502137809892,0.0,0.0
pooled,1,hist_gradient_boosting,4.168208031158981,3.6957502137809892,0.47245781737799186,12.783813570956614
pooled,3,hist_gradient_boosting,4.439878249753471,3.6957502137809892,0.7441280359724813,20.13469506672072
pooled,6,hist_gradient_boosting,4.5434139530848014,3.6957502137809892,0.8476637393038122,22.93617507327688
fold_1,0,hist_gradient_boosting,3.7419039754385137,3.7419039754385137,0.0,0.0
fold_2,0,hist_gradient_boosting,3.853552261614407,3.853552261614407,0.0,0.0
fold_3,0,hist_gradient_boosting,3.489830422983647,3.489830422983647,0.0,0.0
fold_1,1,hist_gradient_boosting,4.390188901965194,3.7419039754385137,0.6482849265266806,17.32500167780784
fold_2,1,hist_gradient_boosting,4.337774699672275,3.853552261614407,0.48422243805786813,12.56561232816933
fold_3,1,hist_gradient_boosting,3.7860425035379337,3.489830422983647,0.2962120805542865,8.487864585151916
fold_1,3,hist_gradient_boosting,4.799992712711278,3.7419039754385137,1.0580887372727643,28.276747458458406
fold_2,3,hist_gradient_boosting,4.6064165426062695,3.853552261614407,0.7528642809918624,19.536890377515135
fold_3,3,hist_gradient_boosting,3.93191315156281,3.489830422983647,0.44208272857916286,12.667742411426453
fold_1,6,hist_gradient_boosting,5.000504718365687,3.7419039754385137,1.2586007429271735,33.635303075346236
fold_2,6,hist_gradient_boosting,4.669855648085096,3.853552261614407,0.8163033864706888,21.18314041311864
fold_3,6,hist_gradient_boosting,3.9863151007876167,3.489830422983647,0.49648467780396954,14.226613262758402
