series,hour,demand,reference_matches,historical_median,coverage_ratio,flag,hour_nyc
city,2026-02-23 12:00:00+00:00,314,4,3427.5,0.09161196207148067,True,2026-02-23 07:00:00-05:00
city,2026-02-23 13:00:00+00:00,401,4,4606.0,0.08706035605731655,True,2026-02-23 08:00:00-05:00
city,2026-02-23 14:00:00+00:00,424,4,4615.0,0.09187432286023835,True,2026-02-23 09:00:00-05:00
city,2026-02-23 15:00:00+00:00,456,4,4631.5,0.098456223685631,True,2026-02-23 10:00:00-05:00
vendor_1,2026-02-23 09:00:00+00:00,9,4,153.0,0.058823529411764705,True,2026-02-23 04:00:00-05:00
vendor_1,2026-02-23 10:00:00+00:00,17,4,250.0,0.068,True,2026-02-23 05:00:00-05:00
vendor_1,2026-02-23 11:00:00+00:00,36,4,524.0,0.06870229007633588,True,2026-02-23 06:00:00-05:00
vendor_1,2026-02-23 12:00:00+00:00,49,4,853.5,0.05741066198008202,True,2026-02-23 07:00:00-05:00
vendor_1,2026-02-23 13:00:00+00:00,58,4,1123.5,0.0516243880729862,True,2026-02-23 08:00:00-05:00
vendor_1,2026-02-23 14:00:00+00:00,53,4,1113.5,0.047597665020206556,True,2026-02-23 09:00:00-05:00
vendor_1,2026-02-23 15:00:00+00:00,63,4,1111.0,0.05670567056705671,True,2026-02-23 10:00:00-05:00
vendor_1,2026-02-23 16:00:00+00:00,78,4,1140.5,0.06839105655414292,True,2026-02-23 11:00:00-05:00
vendor_1,2026-02-23 17:00:00+00:00,115,4,1180.5,0.09741634900465904,True,2026-02-23 12:00:00-05:00
vendor_2,2026-02-23 13:00:00+00:00,339,4,3404.5,0.09957409311205757,True,2026-02-23 08:00:00-05:00
vendor_7,2026-01-01 13:00:00+00:00,10,4,112.0,0.08928571428571429,True,2026-01-01 08:00:00-05:00
vendor_7,2026-01-05 21:00:00+00:00,9,4,136.0,0.0661764705882353,True,2026-01-05 16:00:00-05:00
vendor_7,2026-01-05 22:00:00+00:00,0,4,134.0,0.0,True,2026-01-05 17:00:00-05:00
vendor_7,2026-01-05 23:00:00+00:00,0,4,132.5,0.0,True,2026-01-05 18:00:00-05:00
vendor_7,2026-01-06 21:00:00+00:00,2,4,123.0,0.016260162601626018,True,2026-01-06 16:00:00-05:00
