zone_id,Zone,borough,exact_duplicate_excess,affected_zone_hours
2,Jamaica Bay,Queens,0,0
3,Allerton/Pelham Gardens,Bronx,0,0
4,Alphabet City,Manhattan,0,0
5,Arden Heights,Staten Island,0,0
6,Arrochar/Fort Wadsworth,Staten Island,0,0
7,Astoria,Queens,0,0
8,Astoria Park,Queens,0,0
9,Auburndale,Queens,0,0
10,Baisley Park,Queens,0,0
11,Bath Beach,Brooklyn,0,0
12,Battery Park,Manhattan,0,0
13,Battery Park City,Manhattan,0,0
14,Bay Ridge,Brooklyn,0,0
15,Bay Terrace/Fort Totten,Queens,0,0
16,Bayside,Queens,0,0
17,Bedford,Brooklyn,0,0
18,Bedford Park,Bronx,0,0
19,Bellerose,Queens,0,0
20,Belmont,Bronx,0,0
21,Bensonhurst East,Brooklyn,0,0
22,Bensonhurst West,Brooklyn,0,0
23,Bloomfield/Emerson Hill,Staten Island,0,0
24,Bloomingdale,Manhattan,0,0
25,Boerum Hill,Brooklyn,0,0
26,Borough Park,Brooklyn,0,0
27,Breezy Point/Fort Tilden/Riis Beach,Queens,0,0
28,Briarwood/Jamaica Hills,Queens,0,0
29,Brighton Beach,Brooklyn,0,0
30,Broad Channel,Queens,0,0
31,Bronx Park,Bronx,0,0
32,Bronxdale,Bronx,0,0
33,Brooklyn Heights,Brooklyn,0,0
34,Brooklyn Navy Yard,Brooklyn,0,0
35,Brownsville,Brooklyn,0,0
36,Bushwick North,Brooklyn,0,0
37,Bushwick South,Brooklyn,0,0
38,Cambria Heights,Queens,0,0
39,Canarsie,Brooklyn,0,0
40,Carroll Gardens,Brooklyn,0,0
41,Central Harlem,Manhattan,0,0
42,Central Harlem North,Manhattan,0,0
43,Central Park,Manhattan,0,0
44,Charleston/Tottenville,Staten Island,0,0
45,Chinatown,Manhattan,0,0
46,City Island,Bronx,0,0
47,Claremont/Bathgate,Bronx,0,0
48,Clinton East,Manhattan,0,0
49,Clinton Hill,Brooklyn,0,0
50,Clinton West,Manhattan,0,0
51,Co-Op City,Bronx,0,0
52,Cobble Hill,Brooklyn,0,0
53,College Point,Queens,0,0
54,Columbia Street,Brooklyn,0,0
55,Coney Island,Brooklyn,0,0
56,Corona,Queens,0,0
57,Corona,Queens,0,0
58,Country Club,Bronx,0,0
59,Crotona Park,Bronx,0,0
60,Crotona Park East,Bronx,0,0
61,Crown Heights North,Brooklyn,0,0
62,Crown Heights South,Brooklyn,0,0
63,Cypress Hills,Brooklyn,0,0
64,Douglaston,Queens,0,0
65,Downtown Brooklyn/MetroTech,Brooklyn,0,0
66,DUMBO/Vinegar Hill,Brooklyn,0,0
67,Dyker Heights,Brooklyn,0,0
68,East Chelsea,Manhattan,0,0
69,East Concourse/Concourse Village,Bronx,0,0
70,East Elmhurst,Queens,0,0
71,East Flatbush/Farragut,Brooklyn,0,0
72,East Flatbush/Remsen Village,Brooklyn,0,0
73,East Flushing,Queens,0,0
74,East Harlem North,Manhattan,0,0
75,East Harlem South,Manhattan,0,0
76,East New York,Brooklyn,0,0
77,East New York/Pennsylvania Avenue,Brooklyn,0,0
78,East Tremont,Bronx,0,0
79,East Village,Manhattan,0,0
80,East Williamsburg,Brooklyn,0,0
81,Eastchester,Bronx,0,0
82,Elmhurst,Queens,0,0
83,Elmhurst/Maspeth,Queens,0,0
84,Eltingville/Annadale/Prince's Bay,Staten Island,0,0
85,Erasmus,Brooklyn,0,0
86,Far Rockaway,Queens,0,0
87,Financial District North,Manhattan,0,0
88,Financial District South,Manhattan,0,0
89,Flatbush/Ditmas Park,Brooklyn,0,0
90,Flatiron,Manhattan,0,0
91,Flatlands,Brooklyn,0,0
92,Flushing,Queens,0,0
93,Flushing Meadows-Corona Park,Queens,0,0
94,Fordham South,Bronx,0,0
95,Forest Hills,Queens,0,0
96,Forest Park/Highland Park,Queens,0,0
97,Fort Greene,Brooklyn,0,0
98,Fresh Meadows,Queens,0,0
99,Freshkills Park,Staten Island,0,0
100,Garment District,Manhattan,0,0
101,Glen Oaks,Queens,0,0
102,Glendale,Queens,0,0
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,0,0
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,0,0
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,0,0
106,Gowanus,Brooklyn,0,0
107,Gramercy,Manhattan,0,0
108,Gravesend,Brooklyn,0,0
109,Great Kills,Staten Island,0,0
110,Great Kills Park,Staten Island,0,0
111,Green-Wood Cemetery,Brooklyn,0,0
112,Greenpoint,Brooklyn,0,0
113,Greenwich Village North,Manhattan,0,0
114,Greenwich Village South,Manhattan,0,0
115,Grymes Hill/Clifton,Staten Island,0,0
116,Hamilton Heights,Manhattan,0,0
117,Hammels/Arverne,Queens,0,0
118,Heartland Village/Todt Hill,Staten Island,0,0
119,Highbridge,Bronx,0,0
120,Highbridge Park,Manhattan,0,0
121,Hillcrest/Pomonok,Queens,0,0
122,Hollis,Queens,0,0
123,Homecrest,Brooklyn,0,0
124,Howard Beach,Queens,0,0
125,Hudson Sq,Manhattan,0,0
126,Hunts Point,Bronx,0,0
127,Inwood,Manhattan,0,0
128,Inwood Hill Park,Manhattan,0,0
129,Jackson Heights,Queens,0,0
130,Jamaica,Queens,0,0
131,Jamaica Estates,Queens,0,0
132,JFK Airport,Queens,0,0
133,Kensington,Brooklyn,0,0
134,Kew Gardens,Queens,0,0
135,Kew Gardens Hills,Queens,0,0
136,Kingsbridge Heights,Bronx,0,0
137,Kips Bay,Manhattan,0,0
138,LaGuardia Airport,Queens,0,0
139,Laurelton,Queens,0,0
140,Lenox Hill East,Manhattan,0,0
141,Lenox Hill West,Manhattan,0,0
142,Lincoln Square East,Manhattan,0,0
143,Lincoln Square West,Manhattan,0,0
144,Little Italy/NoLiTa,Manhattan,0,0
