station_id,month,delay_hours,target_hours,matched_observation_hours,complete_hours,complete_fraction,temperature_c_hours,dew_point_c_hours,wind_speed_m_s_hours
USW00014732,2025-12,0,744,743,743,0.9986559139784946,743,743,743
USW00014732,2026-01,0,744,744,744,1.0,744,744,744
USW00014732,2026-02,0,672,672,672,1.0,672,672,672
USW00014732,2026-03,0,743,743,620,0.8344549125168237,620,620,620
USW00014732,2026-04,0,720,720,0,0.0,0,0,0
USW00094728,2025-12,0,744,743,634,0.8521505376344086,743,743,634
USW00094728,2026-01,0,744,744,617,0.8293010752688172,743,742,619
USW00094728,2026-02,0,672,672,639,0.9508928571428571,672,672,639
USW00094728,2026-03,0,743,743,557,0.7496635262449529,620,620,557
USW00094728,2026-04,0,720,720,0,0.0,0,0,0
USW00094789,2025-12,0,744,743,742,0.9973118279569892,743,742,743
USW00094789,2026-01,0,744,744,743,0.9986559139784946,744,744,743
USW00094789,2026-02,0,672,672,672,1.0,672,672,672
USW00094789,2026-03,0,743,743,620,0.8344549125168237,620,620,620
USW00094789,2026-04,0,720,720,0,0.0,0,0,0
USW00014732,2025-12,1,744,742,742,0.9973118279569892,742,742,742
USW00014732,2026-01,1,744,744,744,1.0,744,744,744
USW00014732,2026-02,1,672,672,672,1.0,672,672,672
USW00014732,2026-03,1,743,743,621,0.8358008075370121,621,621,621
USW00014732,2026-04,1,720,720,0,0.0,0,0,0
USW00094728,2025-12,1,744,742,633,0.8508064516129032,742,742,633
USW00094728,2026-01,1,744,744,618,0.8306451612903226,743,742,620
USW00094728,2026-02,1,672,672,638,0.9494047619047619,672,672,638
USW00094728,2026-03,1,743,743,558,0.7510094212651414,621,621,558
USW00094728,2026-04,1,720,720,0,0.0,0,0,0
USW00094789,2025-12,1,744,742,741,0.9959677419354839,742,741,742
USW00094789,2026-01,1,744,744,743,0.9986559139784946,744,744,743
USW00094789,2026-02,1,672,672,672,1.0,672,672,672
USW00094789,2026-03,1,743,743,621,0.8358008075370121,621,621,621
USW00094789,2026-04,1,720,720,0,0.0,0,0,0
USW00014732,2025-12,3,744,740,740,0.9946236559139785,740,740,740
USW00014732,2026-01,3,744,744,744,1.0,744,744,744
USW00014732,2026-02,3,672,672,672,1.0,672,672,672
USW00014732,2026-03,3,743,743,623,0.8384925975773889,623,623,623
USW00014732,2026-04,3,720,720,0,0.0,0,0,0
USW00094728,2025-12,3,744,740,631,0.8481182795698925,740,740,631
USW00094728,2026-01,3,744,744,618,0.8306451612903226,743,742,620
USW00094728,2026-02,3,672,672,638,0.9494047619047619,672,672,638
USW00094728,2026-03,3,743,743,560,0.7537012113055181,623,623,560
USW00094728,2026-04,3,720,720,0,0.0,0,0,0
USW00094789,2025-12,3,744,740,739,0.9932795698924731,740,739,740
USW00094789,2026-01,3,744,744,743,0.9986559139784946,744,744,743
USW00094789,2026-02,3,672,672,672,1.0,672,672,672
USW00094789,2026-03,3,743,743,623,0.8384925975773889,623,623,623
USW00094789,2026-04,3,720,720,0,0.0,0,0,0
USW00014732,2025-12,6,744,737,737,0.9905913978494624,737,737,737
USW00014732,2026-01,6,744,744,744,1.0,744,744,744
USW00014732,2026-02,6,672,672,672,1.0,672,672,672
USW00014732,2026-03,6,743,741,624,0.8398384925975774,624,624,624
USW00014732,2026-04,6,720,720,0,0.0,0,0,0
USW00094728,2025-12,6,744,737,629,0.8454301075268817,737,737,629
USW00094728,2026-01,6,744,744,617,0.8293010752688172,743,742,619
USW00094728,2026-02,6,672,672,639,0.9508928571428571,672,672,639
USW00094728,2026-03,6,743,741,560,0.7537012113055181,624,624,560
USW00094728,2026-04,6,720,720,0,0.0,0,0,0
USW00094789,2025-12,6,744,737,736,0.989247311827957,737,736,737
USW00094789,2026-01,6,744,744,743,0.9986559139784946,744,744,743
USW00094789,2026-02,6,672,672,672,1.0,672,672,672
USW00094789,2026-03,6,743,741,624,0.8398384925975774,624,624,624
USW00094789,2026-04,6,720,720,0,0.0,0,0,0
