month,source,quality,measurement,report_type,station_id,variable,rows,present,accepted,policy_excluded
2025-12,,,,,USW00014732,temperature,5,0,0,0
2025-12,223,1,,FM12,USW00014732,temperature,248,248,248,0
2025-12,223,1,,FM15,USW00014732,temperature,744,744,744,0
2025-12,223,1,,FM16,USW00014732,temperature,120,120,120,0
2025-12,223,4,,FM16,USW00014732,temperature,1,1,0,1
2026-01,,,,,USW00014732,temperature,5930,0,0,0
2026-01,223,1,,FM12,USW00014732,temperature,243,243,243,0
2026-01,223,1,,FM15,USW00014732,temperature,737,737,737,0
2026-01,223,1,,FM16,USW00014732,temperature,106,106,106,0
2026-02,,,,,USW00014732,temperature,4119,0,0,0
2026-02,223,1,,FM12,USW00014732,temperature,223,223,223,0
2026-02,223,1,,FM15,USW00014732,temperature,667,667,667,0
2026-02,223,1,,FM16,USW00014732,temperature,113,113,113,0
2026-03,,,,,USW00014732,temperature,6544,0,0,0
2026-03,223,1,,FM12,USW00014732,temperature,200,200,200,0
2026-03,223,1,,FM15,USW00014732,temperature,608,608,608,0
2026-03,223,1,,FM16,USW00014732,temperature,145,145,145,0
2026-03,223,4,,FM16,USW00014732,temperature,1,1,0,1
2026-03,413,,,FM15,USW00014732,temperature,125,125,0,125
2026-03,413,,,FM16,USW00014732,temperature,3,3,0,3
2026-04,,,,,USW00014732,temperature,6324,0,0,0
2026-04,412,,,FM12,USW00014732,temperature,118,118,0,118
2026-04,412,,,FM94_1,USW00014732,temperature,1,1,0,1
2026-04,413,,,FM15,USW00014732,temperature,746,746,0,746
2026-04,413,,,FM16,USW00014732,temperature,69,69,0,69
2025-12,,,,,USW00014732,dew_point_temperature,5,0,0,0
2025-12,223,1,,FM12,USW00014732,dew_point_temperature,248,248,248,0
2025-12,223,1,,FM15,USW00014732,dew_point_temperature,744,744,744,0
2025-12,223,1,,FM16,USW00014732,dew_point_temperature,120,120,120,0
2025-12,223,4,,FM16,USW00014732,dew_point_temperature,1,1,0,1
2026-01,,,,,USW00014732,dew_point_temperature,5930,0,0,0
2026-01,223,1,,FM12,USW00014732,dew_point_temperature,243,243,243,0
2026-01,223,1,,FM15,USW00014732,dew_point_temperature,737,737,737,0
2026-01,223,1,,FM16,USW00014732,dew_point_temperature,106,106,106,0
2026-02,,,,,USW00014732,dew_point_temperature,4119,0,0,0
2026-02,223,1,,FM12,USW00014732,dew_point_temperature,223,223,223,0
2026-02,223,1,,FM15,USW00014732,dew_point_temperature,667,667,667,0
2026-02,223,1,,FM16,USW00014732,dew_point_temperature,113,113,113,0
2026-03,,,,,USW00014732,dew_point_temperature,6544,0,0,0
2026-03,223,1,,FM12,USW00014732,dew_point_temperature,200,200,200,0
2026-03,223,1,,FM15,USW00014732,dew_point_temperature,608,608,608,0
2026-03,223,1,,FM16,USW00014732,dew_point_temperature,145,145,145,0
2026-03,223,4,,FM16,USW00014732,dew_point_temperature,1,1,0,1
2026-03,413,,,FM15,USW00014732,dew_point_temperature,125,125,0,125
2026-03,413,,,FM16,USW00014732,dew_point_temperature,3,3,0,3
2026-04,,,,,USW00014732,dew_point_temperature,6325,0,0,0
2026-04,412,,,FM12,USW00014732,dew_point_temperature,118,118,0,118
2026-04,413,,,FM15,USW00014732,dew_point_temperature,746,746,0,746
2026-04,413,,,FM16,USW00014732,dew_point_temperature,69,69,0,69
2025-12,,,,,USW00014732,wind_speed,5,0,0,0
2025-12,223,1,C,FM12,USW00014732,wind_speed,7,7,7,0
2025-12,223,1,C,FM15,USW00014732,wind_speed,22,22,22,0
2025-12,223,1,C,FM16,USW00014732,wind_speed,5,5,5,0
2025-12,223,1,N,FM12,USW00014732,wind_speed,241,241,241,0
2025-12,223,1,N,FM15,USW00014732,wind_speed,713,713,713,0
2025-12,223,1,N,FM16,USW00014732,wind_speed,114,114,114,0
2025-12,223,1,V,FM15,USW00014732,wind_speed,9,9,9,0
2025-12,223,1,V,FM16,USW00014732,wind_speed,2,2,2,0
2026-01,,,,,USW00014732,wind_speed,5930,0,0,0
2026-01,223,1,C,FM12,USW00014732,wind_speed,7,7,7,0
2026-01,223,1,C,FM15,USW00014732,wind_speed,26,26,26,0
2026-01,223,1,C,FM16,USW00014732,wind_speed,6,6,6,0
2026-01,223,1,N,FM12,USW00014732,wind_speed,236,236,236,0
2026-01,223,1,N,FM15,USW00014732,wind_speed,708,708,708,0
2026-01,223,1,N,FM16,USW00014732,wind_speed,98,98,98,0
2026-01,223,1,V,FM15,USW00014732,wind_speed,3,3,3,0
2026-01,223,1,V,FM16,USW00014732,wind_speed,2,2,2,0
2026-02,,,,,USW00014732,wind_speed,4119,0,0,0
2026-02,223,1,C,FM12,USW00014732,wind_speed,6,6,6,0
2026-02,223,1,C,FM15,USW00014732,wind_speed,21,21,21,0
2026-02,223,1,C,FM16,USW00014732,wind_speed,5,5,5,0
2026-02,223,1,N,FM12,USW00014732,wind_speed,217,217,217,0
2026-02,223,1,N,FM15,USW00014732,wind_speed,630,630,630,0
2026-02,223,1,N,FM16,USW00014732,wind_speed,106,106,106,0
2026-02,223,1,V,FM15,USW00014732,wind_speed,16,16,16,0
