zone_id,Zone,borough,pickups
237,Upper East Side South,Manhattan,858707
236,Upper East Side North,Manhattan,788896
161,Midtown Center,Manhattan,773422
132,JFK Airport,Queens,744206
186,Penn Station/Madison Sq West,Manhattan,583286
162,Midtown East,Manhattan,578758
142,Lincoln Square East,Manhattan,562427
230,Times Sq/Theatre District,Manhattan,547463
79,East Village,Manhattan,501045
239,Upper West Side South,Manhattan,499393
234,Union Sq,Manhattan,497867
170,Murray Hill,Manhattan,488395
68,East Chelsea,Manhattan,474615
138,LaGuardia Airport,Queens,468571
163,Midtown North,Manhattan,468379
141,Lenox Hill West,Manhattan,432559
48,Clinton East,Manhattan,432372
249,West Village,Manhattan,412184
140,Lenox Hill East,Manhattan,388164
164,Midtown South,Manhattan,378402
238,Upper West Side North,Manhattan,369458
263,Yorkville West,Manhattan,366920
107,Gramercy,Manhattan,366672
246,West Chelsea/Hudson Yards,Manhattan,341264
229,Sutton Place/Turtle Bay North,Manhattan,303899
90,Flatiron,Manhattan,286629
262,Yorkville East,Manhattan,277204
114,Greenwich Village South,Manhattan,274884
113,Greenwich Village North,Manhattan,268470
231,TriBeCa/Civic Center,Manhattan,259892
100,Garment District,Manhattan,246147
148,Lower East Side,Manhattan,240362
137,Kips Bay,Manhattan,236880
43,Central Park,Manhattan,230665
143,Lincoln Square West,Manhattan,226719
144,Little Italy/NoLiTa,Manhattan,207626
233,UN/Turtle Bay South,Manhattan,200140
158,Meatpacking/West Village West,Manhattan,177325
75,East Harlem South,Manhattan,159431
151,Manhattan Valley,Manhattan,158586
211,SoHo,Manhattan,152485
50,Clinton West,Manhattan,128338
87,Financial District North,Manhattan,128047
166,Morningside Heights,Manhattan,124963
13,Battery Park City,Manhattan,113841
41,Central Harlem,Manhattan,96410
125,Hudson Sq,Manhattan,90366
261,World Trade Center,Manhattan,84259
74,East Harlem North,Manhattan,82388
4,Alphabet City,Manhattan,79396
42,Central Harlem North,Manhattan,71843
88,Financial District South,Manhattan,67926
24,Bloomingdale,Manhattan,59705
232,Two Bridges/Seward Park,Manhattan,59129
244,Washington Heights South,Manhattan,49926
224,Stuy Town/Peter Cooper Village,Manhattan,48649
145,Long Island City/Hunters Point,Queens,44829
7,Astoria,Queens,44565
45,Chinatown,Manhattan,44320
116,Hamilton Heights,Manhattan,43648
255,Williamsburg (North Side),Brooklyn,43505
70,East Elmhurst,Queens,40505
209,Seaport,Manhattan,38840
226,Sunnyside,Queens,36512
61,Crown Heights North,Brooklyn,35621
256,Williamsburg (South Side),Brooklyn,32637
37,Bushwick South,Brooklyn,32215
112,Greenpoint,Brooklyn,30016
97,Fort Greene,Brooklyn,27913
76,East New York,Brooklyn,27876
152,Manhattanville,Manhattan,27509
80,East Williamsburg,Brooklyn,27055
33,Brooklyn Heights,Brooklyn,25411
65,Downtown Brooklyn/MetroTech,Brooklyn,23974
225,Stuyvesant Heights,Brooklyn,23809
181,Park Slope,Brooklyn,23330
66,DUMBO/Vinegar Hill,Brooklyn,23290
25,Boerum Hill,Brooklyn,23011
129,Jackson Heights,Queens,22600
188,Prospect-Lefferts Gardens,Brooklyn,22296
243,Washington Heights North,Manhattan,21752
89,Flatbush/Ditmas Park,Brooklyn,20936
17,Bedford,Brooklyn,20782
